-166 430 2307 -16 431 67 -223 465 2449 -367 154 -260 -175 211 2713 188 -147 -7 
-165 375 1922 305 199 278 -154 287 2043 -551 -1 -287 -1019 446 3109 -642 -519 203 
151 147 2077 198 -79 6 -85 330 1574 -167 22 -86 16 386 2299 259 683 -115 
-96 150 2598 -11 -226 320 -331 269 2242 676 -127 -121 -262 483 2141 -642 141 236 
-424 272 2880 -87 629 -150 142 71 2265 -28 -158 303 -41 522 1474 -348 99 -367 
-520 476 2687 159 658 -160 -45 -79 3020 95 -318 -27 -86 222 1845 363 39 14 
-33 253 2171 -479 126 10 -197 8 2689 183 -7 -94 6 322 1755 472 -140 -349 
-138 266 1944 -1269 130 -146 -345 -97 2904 251 -258 34 -106 353 2246 645 781 18 
-242 538 2959 285 136 273 -461 29 3274 142 32 -115 69 102 1924 811 -56 -407 
45 303 1715 319 69 138 -492 226 2839 -436 58 -146 164 -178 2675 963 169 434 
-121 106 1582 -471 337 -257 -864 -98 3033 167 -825 -472 -33 104 2266 863 -341 -132 
-107 303 1631 -331 1021 -225 -320 -63 3485 -350 123 -274 -40 192 2444 359 437 145 
-180 355 1622 17 -186 -648 -221 -72 2806 401 556 438 -439 445 2458 237 1033 193 
-268 321 1666 115 520 -427 -400 -43 3044 -385 -618 234 -86 48 2483 64 -402 218 
80 331 1760 -436 -61 -415 -525 168 2984 -15 -163 -78 -111 118 1944 839 28 -382 
-151 688 2102 -33 -12 -523 -448 7 3089 139 -106 61 -145 557 1727 225 543 377 
10 421 2173 -1222 189 411 -187 91 2967 -980 677 17 -496 905 1886 394 -403 348 
63 547 1797 -1007 -277 355 -279 149 2394 -140 220 287 -449 348 2168 874 63 209 
-418 366 2069 -689 -529 212 -175 308 2566 -40 -24 198 -472 258 2264 893 293 69 
-549 356 1403 -878 -921 -109 -137 -100 2856 -96 96 59 -313 32 3192 1844 532 66 
-665 539 858 -440 -520 212 -276 91 2788 -524 350 124 -139 68 2976 1033 468 236 
-391 347 1093 646 154 -121 -38 69 3109 -391 -647 14 -126 245 2334 1319 551 -317 
